Headline,Body ID,Stance,actual,predicted,prob_0,prob_1,prob_2,prob_3
Canadian-Israeli Woman May Have Been Captured In Syria: Reports,1223,unrelated,unrelated,unrelated,6.6898505e-09,2.5536362e-08,4.2389988e-07,0.9999995
Kim Jong ill? Analysts say 27-year-old sister Kim Yo Jong may be running North Korea (VIDEO),1029,unrelated,unrelated,unrelated,2.446008e-07,5.584496e-09,2.2927875e-06,0.9999975
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,1349,unrelated,unrelated,unrelated,2.0373467e-10,1.7095106e-09,1.1330194e-06,0.9999988
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,530,unrelated,unrelated,unrelated,2.83436e-07,9.9715194e-08,6.138959e-06,0.99999344
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",986,unrelated,unrelated,unrelated,1.0333642e-07,1.00053214e-07,2.089357e-07,0.99999964
'No hard evidence' of Isis claims it kidnapped Canadian-Israeli woman Gill Rosenberg,214,unrelated,unrelated,unrelated,1.5822451e-08,2.1459357e-09,1.0507993e-07,0.9999999
Media Fooled Again? Story Claims 7 of 28 Girls On School Trip Came Home Pregnant,1408,unrelated,unrelated,unrelated,6.258528e-08,5.789139e-07,2.787757e-07,0.99999905
Is this proof of bigfoot? New 'yeti' video shows giant hairy beast walking through forest,2377,discuss,discuss,discuss,0.043815557,0.0013476289,0.95475125,8.552329e-05
Apple may launch 12-inch MacBook Air with Retina Display,2509,unrelated,unrelated,unrelated,9.774249e-09,9.460417e-09,2.4635863e-06,0.9999975
'Hairgate': iPhone hit by new social media storm,1787,unrelated,unrelated,unrelated,1.06866196e-07,8.762618e-08,2.9497729e-05,0.9999703
Kim Jong-un: Absent North Korean leader is 'recovering from ankle surgery',1103,unrelated,unrelated,unrelated,1.9976252e-08,2.2627891e-07,1.6369689e-06,0.9999981
"Woman detained in Lebanon is not Isis leader’s wife, says Iraq",365,unrelated,unrelated,unrelated,7.27158e-08,5.336305e-07,2.6452156e-08,0.9999994
Seth Rogen To Play Steve Wozniak In Steve Jobs Biopic,614,discuss,discuss,discuss,0.055555258,0.004692665,0.9394325,0.0003196241
Cannibal mum tries to EAT her own baby shortly after giving birth,867,unrelated,unrelated,unrelated,7.8593354e-07,1.2517108e-07,3.8778153e-06,0.99999523
"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",1574,unrelated,unrelated,unrelated,2.7795758e-07,1.3295164e-09,4.8499135e-07,0.9999993
Mass grave found after 40 students disappear in Mexican protest,983,discuss,discuss,discuss,7.2382913e-06,1.934802e-05,0.9999733,1.6191456e-07
New policy could reduce marijuana possession arrests,2163,discuss,discuss,discuss,0.00050412765,1.3300576e-05,0.9994822,3.881665e-07
Islamic State using 'SCORPION bombs' to terrorise victims,1574,unrelated,unrelated,unrelated,1.6111538e-06,1.4101803e-08,3.8754653e-08,0.99999833
Mystery man slaps shoppers around head for sneezing,171,unrelated,unrelated,unrelated,7.4739495e-07,3.2480067e-08,4.678651e-06,0.9999945
Isilkulskom student has gained superhero powers after shock,1299,unrelated,unrelated,unrelated,3.6502914e-07,5.1446904e-08,2.5216005e-07,0.9999993
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,1948,unrelated,unrelated,unrelated,5.29594e-06,1.8392494e-06,0.043976367,0.95601654
Apple Orders More Than 5 Million Watches for Initial Run,676,unrelated,unrelated,unrelated,2.5522024e-07,4.1311818e-08,1.6148979e-06,0.9999981
Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR,214,unrelated,unrelated,unrelated,5.403359e-08,1.2077791e-08,1.6184117e-07,0.99999976
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",1720,unrelated,unrelated,unrelated,2.6684918e-07,2.7192023e-08,4.6861817e-07,0.9999993
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",1358,unrelated,unrelated,unrelated,3.9690335e-07,9.732176e-08,3.184982e-08,0.9999995
Dog found abandoned at Scottish train station with suitcase of belongings,144,unrelated,unrelated,unrelated,5.88129e-07,3.382219e-08,3.4275622e-06,0.99999595
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1125,unrelated,unrelated,unrelated,1.3478557e-08,3.9330543e-09,1.0538623e-07,0.9999999
Rapper identified as James Foley's executioner: reports,1303,unrelated,unrelated,unrelated,1.9837529e-08,5.666153e-09,1.0836659e-06,0.9999989
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",2314,unrelated,unrelated,unrelated,6.772048e-08,9.9421506e-08,1.1050855e-05,0.9999888
"Nun gives birth, intends to keep baby",524,unrelated,unrelated,unrelated,5.9489984e-08,9.9506146e-09,8.545029e-07,0.99999905
Google Grows With $1.6 Billion in California Office Deals,720,unrelated,unrelated,unrelated,7.1873195e-08,1.6963556e-08,1.8729016e-06,0.9999981
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1346,discuss,discuss,discuss,0.24212676,0.00013205575,0.7576898,5.135515e-05
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,1446,discuss,discuss,discuss,0.010317044,0.0071457974,0.9825042,3.2910266e-05
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",450,unrelated,unrelated,unrelated,4.3249706e-08,7.99432e-09,1.2518628e-06,0.9999987
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",524,unrelated,unrelated,unrelated,1.5282348e-08,2.8045243e-08,5.8093224e-07,0.9999994
American Predator Drone Circling Islamic State’s Stronghold,1400,unrelated,unrelated,unrelated,5.022366e-08,3.2680336e-07,1.209548e-06,0.99999845
Kim Jong-Un 'Has Difficulty Walking And Needs About 100 Days To Recuperate',570,unrelated,unrelated,unrelated,1.752132e-09,1.8119274e-09,7.8735144e-07,0.99999917
Lego letter to parents in 1974 on gender equality still resonates 40 years on,2412,unrelated,unrelated,unrelated,3.2810751e-06,6.35624e-07,4.6818236e-06,0.9999914
"SMALL METEORITE STRIKES NICARAGUA, GOVERNMENT SAYS",731,unrelated,unrelated,unrelated,8.372155e-08,9.1563535e-08,0.00053254585,0.9994673
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2067,agree,agree,agree,0.7671648,6.132859e-05,0.23269098,8.290109e-05
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,1916,discuss,discuss,discuss,5.145336e-05,9.305616e-05,0.99982196,3.35757e-05
Star Wars VII for a New SUMMER Release Date!?,1349,unrelated,unrelated,unrelated,1.5319602e-08,4.657427e-09,1.4893446e-05,0.9999851
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,734,unrelated,unrelated,unrelated,5.846198e-10,1.1932045e-09,6.731352e-08,0.9999999
"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",2268,discuss,discuss,discuss,0.000268296,3.8031674e-05,0.9996896,4.098358e-06
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",2377,unrelated,unrelated,unrelated,3.9553303e-08,1.5339072e-07,1.7608636e-07,0.99999964
Journalist James Wright Foley reportedly beheaded by ISIS,1948,discuss,discuss,discuss,6.6767655e-07,3.1822672e-08,0.99998045,1.890809e-05
Electric shock turns Russian boy into Marvel's Magneto,1372,unrelated,unrelated,unrelated,1.449493e-06,3.0851098e-07,5.7826587e-06,0.9999925
Lebanon confirms holding ISIS chief’s kin,365,unrelated,unrelated,unrelated,2.2891696e-07,6.0426447e-07,7.40201e-08,0.99999905
"US Drones, Hunting for ISIS Leader, Seen Flying over Syrian Airspace",1400,unrelated,unrelated,unrelated,3.1316085e-07,4.694318e-07,8.4035236e-07,0.99999833
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",1400,agree,agree,agree,0.96633154,0.00051237753,0.03314354,1.2502997e-05
Jilted lover chops off his penis after girlfriend dumps him,1799,agree,agree,agree,0.9682312,2.3889594e-05,0.03174294,1.9449135e-06
Video shows ISIL beheading of photojournalist James Foley,139,unrelated,unrelated,unrelated,1.4045248e-05,6.440525e-07,4.4898843e-06,0.9999808
Apple’s next MacBook could be a 12-inch MacBook Air,1863,unrelated,unrelated,unrelated,2.6398132e-07,1.3638318e-07,5.007871e-07,0.99999905
ISIS pays tribute to its 'Cub of Baghdadi' child soldier,714,unrelated,unrelated,unrelated,1.4744938e-06,4.5303335e-07,0.0006990403,0.99929905
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",169,unrelated,unrelated,unrelated,1.3495332e-07,5.067695e-08,1.7513645e-07,0.99999964
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2009,unrelated,unrelated,unrelated,4.12607e-08,1.0829001e-08,2.1447813e-07,0.99999976
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,530,unrelated,unrelated,unrelated,5.828167e-08,2.7650666e-08,5.810175e-08,0.9999999
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",1554,agree,agree,discuss,0.4022321,0.00033585157,0.5952271,0.002204884
CNN Plays Alleged Recording of Michael Brown Shooting,2434,discuss,discuss,discuss,1.876777e-06,3.1689906e-06,0.9999089,8.605699e-05
Texas plumber's truck on front line of Syria war,2314,unrelated,unrelated,unrelated,1.5287482e-06,1.13071174e-07,1.7402964e-06,0.99999666
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,2330,unrelated,unrelated,unrelated,1.1211711e-08,1.5755195e-09,6.322423e-08,0.9999999
Boko Haram denies ceasefire claim by Nigeria's government,1125,unrelated,unrelated,unrelated,6.163077e-08,9.550965e-09,2.2033353e-07,0.99999976
Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs,2272,unrelated,unrelated,unrelated,3.998819e-08,1.0484662e-08,3.3912448e-07,0.99999964
Missing American journalist reportedly beheaded by Islamic State ,991,discuss,discuss,discuss,6.212033e-07,9.836446e-07,0.99994993,4.848278e-05
Shots Heard In Alleged Brown Shooting Recording [AUDIO],450,unrelated,unrelated,unrelated,6.7920176e-09,6.022205e-09,1.642245e-06,0.99999833
God Is A Woman – Resurrected Father Narated,34,unrelated,unrelated,unrelated,3.6288914e-06,1.0617368e-06,4.535314e-06,0.9999908
Watch marine take sniper shot to the head and live,860,unrelated,unrelated,unrelated,1.8042728e-07,2.397468e-08,8.6664176e-07,0.9999989
"North Korean leader Kim Jong Un had ankle surgery, report says",524,unrelated,unrelated,unrelated,9.28332e-10,2.1137154e-09,1.328932e-06,0.9999987
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,107,unrelated,unrelated,unrelated,6.3689733e-09,1.3533669e-08,1.2512397e-06,0.9999987
New iOS 8 bug can delete all of your iCloud documents,2385,unrelated,unrelated,unrelated,2.9632025e-07,1.939179e-08,5.718361e-07,0.99999917
Give a homeless man $100 and see what he does with it [Video],1948,unrelated,unrelated,unrelated,1.9270674e-06,5.926673e-08,8.521491e-05,0.99991274
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,867,discuss,discuss,discuss,0.46236548,0.00018664262,0.53744155,6.268721e-06
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,1125,unrelated,unrelated,unrelated,7.0325974e-08,1.6948139e-08,1.6493032e-05,0.99998343
Missing Mexico students not among 28 bodies found in mass grave,1958,unrelated,unrelated,unrelated,4.7941153e-06,9.167333e-08,8.863149e-05,0.9999064
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1192,discuss,discuss,discuss,0.012616336,0.20133999,0.7858901,0.0001536151
Eyewitness Says Viral Video of Homeless Man Was Staged,1948,unrelated,unrelated,unrelated,7.3450786e-07,8.5175077e-07,0.00028700544,0.99971133
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2070,unrelated,unrelated,unrelated,6.3787826e-07,3.105746e-08,2.1374741e-07,0.99999917
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,1125,unrelated,unrelated,unrelated,4.2071926e-07,9.221849e-08,3.450174e-07,0.99999917
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,951,discuss,discuss,discuss,0.00018906566,3.9448087e-06,0.99980503,2.0005796e-06
"Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax",2362,agree,agree,agree,0.98997027,0.0047819084,0.005238533,9.271911e-06
Accountant Claims Comcast Got Him Fired From His Job for Reporting a Customer Service Issue,2434,unrelated,unrelated,unrelated,8.452724e-08,1.7238e-07,2.6437285e-05,0.9999733
